Nro Factura,valor_capital,fecha_abono,fecha_factura,demora_pago,habito_pago
109122,877883,31/01/2018,31/10/2017,92,0.0
109143,1316825,17/04/2018,14/11/2017,154,0.0
109144,1316825,11/04/2018,14/11/2017,148,0.0
109147,877883,30/04/2018,14/11/2017,167,0.0
109153,17276742,31/01/2018,14/11/2017,78,0.0
109167,18640964,07/02/2018,14/11/2017,85,0.0
109190,877883,17/01/2018,15/11/2017,63,0.0
109207,1316825,29/01/2018,15/11/2017,75,0.0
109211,1316825,30/12/2019,15/11/2017,775,0.0
109214,438942,30/12/2019,16/11/2017,774,0.0
109218,1316825,12/03/2018,16/11/2017,116,0.0
109238,19923876,17/01/2018,16/11/2017,62,0.0
109241,877883,18/01/2018,16/11/2017,63,0.0
109258,877883,28/12/2018,16/11/2017,407,0.0
109267,1755766,17/04/2018,16/11/2017,152,0.0
109282,2633650,30/12/2019,16/11/2017,774,0.0
109293,877883,13/02/2018,16/11/2017,89,0.0
109303,877883,15/01/2018,16/11/2017,60,0.0
109305,2364108,15/01/2018,16/11/2017,60,0.0
109314,1755766,15/03/2018,16/11/2017,119,0.0
109326,34230020,15/01/2018,16/11/2017,60,0.0
109332,8778832,20/03/2019,16/11/2017,489,0.0
109346,877883,10/07/2018,16/11/2017,236,0.0
109376,73149672,24/01/2018,16/11/2017,69,0.0
109390,877883,26/02/2018,16/11/2017,102,0.0
109391,877883,31/01/2018,16/11/2017,76,0.0
109393,1316825,31/01/2018,16/11/2017,76,0.0
109398,1755766,28/02/2018,16/11/2017,104,0.0
109401,438942,25/01/2018,16/11/2017,70,0.0
109407,1755766,31/01/2018,16/11/2017,76,0.0
109414,1316650,30/12/2019,16/11/2017,774,0.0
109417,1755766,10/01/2018,16/11/2017,55,0.0
109421,1316825,04/01/2018,16/11/2017,49,0.0
109422,1316825,22/03/2018,16/11/2017,126,0.0
109424,1316825,30/12/2019,16/11/2017,774,0.0
109426,1316825,26/02/2018,16/11/2017,102,0.0
109430,1755766,23/02/2018,16/11/2017,99,0.0
109432,1755766,17/01/2018,16/11/2017,62,0.0
109443,2633650,31/01/2018,16/11/2017,76,0.0
109445,-7023066,28/09/2018,16/11/2017,316,0.0
109454,877883,28/02/2018,16/11/2017,104,0.0
109455,877883,28/02/2018,16/11/2017,104,0.0
109465,4389416,24/01/2018,17/11/2017,68,0.0
109467,877883,28/03/2018,17/11/2017,131,0.0
109468,4389416,07/02/2018,17/11/2017,82,0.0
109477,877883,28/03/2018,17/11/2017,131,0.0
109480,877883,28/03/2018,17/11/2017,131,0.0
109490,4750747,28/02/2018,17/11/2017,103,0.0
109493,52535123,04/01/2018,17/11/2017,48,0.0
109497,1316825,27/08/2018,17/11/2017,283,0.0
109505,799768,24/01/2018,17/11/2017,68,0.0
109513,1755766,21/06/2018,17/11/2017,216,0.0
109516,3072592,27/08/2018,17/11/2017,283,0.0
109517,2194709,27/08/2018,17/11/2017,283,0.0
109518,2194709,27/08/2018,17/11/2017,283,0.0
109520,877883,15/01/2018,17/11/2017,59,0.0
109521,10696897,30/01/2018,17/11/2017,74,0.0
109522,10696873,30/01/2018,17/11/2017,74,0.0
109536,877883,18/01/2018,17/11/2017,62,0.0
109556,9129986,13/02/2018,17/11/2017,88,0.0
109561,4389416,09/01/2018,17/11/2017,53,0.0
109562,1316825,09/03/2018,17/11/2017,112,0.0
109567,2633650,26/06/2018,17/11/2017,221,0.0
109580,438942,04/01/2018,17/11/2017,48,0.0
109582,438942,26/02/2018,17/11/2017,101,0.0
109583,877883,28/12/2018,17/11/2017,406,0.0
109588,2633650,06/03/2018,17/11/2017,109,0.0
109591,3511533,15/03/2018,17/11/2017,118,0.0
109595,11065760,31/01/2018,17/11/2017,75,0.0
109601,877883,21/05/2018,17/11/2017,185,0.0
109602,1755766,06/03/2018,17/11/2017,109,0.0
109607,48617151,13/09/2018,17/11/2017,300,0.0
109608,877883,21/05/2018,17/11/2017,185,0.0
109610,10696859,26/01/2018,17/11/2017,70,0.0
109616,877883,22/03/2018,17/11/2017,125,0.0
109633,1755766,30/12/2019,17/11/2017,773,0.0
109635,877883,11/09/2018,17/11/2017,298,0.0
109638,6145183,04/01/2018,17/11/2017,48,0.0
109642,14754317,28/02/2018,17/11/2017,103,0.0
109644,877883,07/02/2018,17/11/2017,82,0.0
109645,1316825,24/01/2018,17/11/2017,68,0.0
109647,1316825,17/01/2018,17/11/2017,61,0.0
109651,1316825,27/02/2018,17/11/2017,102,0.0
109653,1931343,28/12/2018,17/11/2017,406,0.0
109655,1755766,21/03/2018,17/11/2017,124,0.0
109656,1316825,28/12/2018,17/11/2017,406,0.0
109658,1316825,29/06/2018,17/11/2017,224,0.0
109659,1316825,28/12/2018,17/11/2017,406,0.0
109661,1755766,29/06/2018,17/11/2017,224,0.0
109662,14754340,28/12/2018,17/11/2017,406,0.0
109663,14754294,28/12/2018,17/11/2017,406,0.0
109664,1755766,29/06/2018,17/11/2017,224,0.0
109665,877883,29/06/2018,17/11/2017,224,0.0
109666,43793816,24/01/2018,17/11/2017,68,0.0
109668,6418063,04/05/2018,17/11/2017,168,0.0
109669,49510861,24/01/2018,17/11/2017,68,0.0
109670,32920594,21/02/2018,17/11/2017,96,0.0
109676,2984802,06/03/2018,17/11/2017,109,0.0
109693,1755766,31/01/2018,23/11/2017,69,0.0
